,Unnamed: 0,CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
92,93,93,K581313,87ec7c0f-2780-4909-9bf3-5369082eab90,Reading,MI,Hillsdale,49274,41.83849,-84.76277,3499,Suburban,America/Detroit,"Designer, television/film set",0.0,68,"Some College, Less than 1 Year",Student,115510.46,Separated,Female,No,5.655483352,3,1,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Electronic Check,3.273341151,163.0404044,443.984031,2,2,2,4,3,3,4,3
98,99,99,R180138,7def992e-acd6-4b3e-9d01-68812f5fd2ff,Fayetteville,NC,Cumberland,28301,35.07431,-78.88358,17600,Rural,America/New_York,Chief Strategy Officer,1.0,80,"Some College, 1 or More Years, No Degree",Retired,103311.26,Never Married,Male,No,9.33803434,15,1,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Mailed Check,20.31163945,162.443765,2056.386979,5,4,4,3,4,4,5,5
126,127,127,N883325,800bbe9f-bc31-4611-8ca9-ce20f1387343,Ralston,PA,Lycoming,17763,41.51534,-76.97577,161,Urban,America/New_York,Senior tax professional/tax inspector,1.0,68,Master's Degree,Full Time,95028.57,Separated,Male,Yes,7.023897487,13,0,0.0,No,Month-to-month,Yes,Yes,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic Check,4.627672042,221.1091638,1038.745378,3,3,3,3,4,3,3,3
130,131,131,X645702,cfc79a87-f608-485d-86c9-cfce7db37a29,Dennison,OH,Tuscarawas,44621,40.42752,-81.29587,4476,Rural,America/New_York,Corporate investment banker,0.0,47,Regular High School Diploma,Full Time,125814.88,Divorced,Female,Yes,39.69685071,10,0,1.0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,No,Yes,Yes,Mailed Check,6.085030507,168.9164634,1162.332926,3,3,4,2,4,4,3,2
133,134,134,D333249,c7752e9e-50a3-4105-bf0e-ce8db57d6d3f,Parish,NY,Oswego,13131,43.42122,-76.09223,3736,Suburban,America/New_York,Horticultural consultant,3.0,41,Regular High School Diploma,Full Time,87354.99,Divorced,Male,Yes,5.90315482,10,0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Mailed Check,9.743201772,253.2506431,1577.208717,5,5,3,4,4,4,4,5
160,161,161,X999392,00aac470-2976-4ae7-93f0-184a7586c5e2,Kingston,IL,DeKalb,60145,42.09364,-88.77654,2673,Urban,America/Chicago,Health service manager,0.0,50,"Some College, 1 or More Years, No Degree",Retired,107111.8,Widowed,Female,Yes,16.4453186,12,2,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),2.600063739,163.5417337,528.6553088,3,3,2,3,4,4,4,3
164,165,165,T278739,2f84e063-6918-485b-8341-4c5e27d63de5,Hailey,ID,Blaine,83333,43.56677,-114.3155,10398,Rural,America/Boise,Dealer,3.0,34,Regular High School Diploma,Unemployed,96382.76,Married,Male,Yes,8.685938977,14,0,0.0,No,Two Year,Yes,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,16.00330155,202.7881738,3382.424,2,2,3,4,1,4,4,4
168,169,169,T392167,63575fa1-90c9-47c6-9ca2-665de8d41ac9,Greenville,SC,Greenville,29613,34.92588,-82.4386,1917,Rural,America/New_York,Nature conservation officer,3.0,58,Regular High School Diploma,Retired,87537.25,Divorced,Male,No,8.703192042,14,0,1.0,No,Two Year,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,No,No,No,Electronic Check,12.07358377,136.5814796,1623.045026,2,3,3,4,2,4,3,5
176,177,177,H776847,69a1b038-4e99-491b-876c-0b3776e343dc,Montrose,AL,Baldwin,36559,30.56858,-87.90401,99,Suburban,America/Chicago,Barrister,1.0,58,Regular High School Diploma,Full Time,87535.71,Divorced,Male,No,38.84239397,15,0,1.0,No,Two Year,Yes,No,DSL,Yes,No,Yes,No,No,No,Yes,No,No,Mailed Check,8.850426839,150.2503098,1456.887443,3,2,3,3,4,2,3,3
185,186,186,F697244,93fe3de1-9d90-4db8-9323-25f0d3550180,Portland,MI,Ionia,48875,42.85933,-84.92965,10482,Urban,America/Detroit,Environmental health practitioner,2.0,81,Bachelor's Degree,Full Time,90977.74,Widowed,Female,No,10.198227,10,3,0.0,No,Two Year,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,No,No,Mailed Check,3.521499924,146.8941358,823.4933243,4,4,2,2,4,3,3,4
186,187,187,F501848,b47490b5-a967-4f46-a76a-600552c4d141,Beckville,TX,Panola,75631,32.24926,-94.45456,3151,Suburban,America/Chicago,"Journalist, broadcasting",8.0,78,Regular High School Diploma,Full Time,135727.71,Separated,Male,No,10.83533213,14,0,0.0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,Yes,No,No,No,Yes,Mailed Check,8.08137067,107.2768979,1468.357421,3,3,3,3,5,2,4,3
212,213,213,X914490,b0115cfa-cd5e-42a3-9254-93e3ee76c6a2,Cupertino,CA,Santa Clara,95014,37.30493,-122.0807,62430,Rural,America/Los_Angeles,"Engineer, petroleum",3.0,81,"9th Grade to 12th Grade, No Diploma",Retired,92447.71,Divorced,Female,No,14.82772628,12,0,0.0,No,One year,No,No,DSL,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),1.416592892,149.680349,757.0097075,4,4,4,3,3,3,3,3
243,244,244,O226386,edafd41b-4e98-4a47-9c0e-c789a8b431b2,Mcdonald,NM,Lea,88262,33.13287,-103.42588,13,Rural,America/Denver,"Secretary, company",1.0,53,Bachelor's Degree,Unemployed,118022.06,Widowed,Male,Yes,34.94906329,11,2,0.0,Yes,Month-to-month,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,14.20349453,181.3208115,1947.7853,4,3,3,3,3,2,3,2
257,258,258,N279711,eabdb275-7517-4fe2-8b90-1ce5bcb1eff9,Dublin,OH,Franklin,43016,40.09859,-83.15376,36260,Urban,America/New_York,Financial planner,7.0,76,Master's Degree,Full Time,91335.76,Widowed,Male,No,11.69090237,11,1,0.0,No,One year,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Electronic Check,2.416685985,142.1789205,1078.291303,3,4,4,2,5,4,3,4
260,261,261,R379090,38094c83-0483-4130-b849-64ef24ff7585,Roosevelt,NY,Nassau,11575,40.68046,-73.5853,16546,Rural,America/New_York,"Geologist, wellsite",1.0,53,Regular High School Diploma,Full Time,91001.1,Widowed,Male,Yes,8.488272515,8,1,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),10.57197066,242.8317384,1649.312808,3,2,1,3,5,3,3,6
293,294,294,O167724,12442323-6949-4d40-9175-b409731ed1f5,Waynesboro,PA,Franklin,17268,39.77564,-77.57384,29426,Urban,America/New_York,"Engineer, manufacturing",0.0,53,Regular High School Diploma,Retired,123763.12,Divorced,Male,Yes,8.099458727,10,1,0.0,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Bank Transfer(automatic),36.19603,138.3569119,665.4740915,6,5,5,4,2,4,5,3
294,295,295,Y554348,ac0f88a7-eef7-4326-aeab-0cecacc9aca1,Akron,OH,Summit,44310,41.1066,-81.4971,26659,Rural,America/New_York,Sports coach,1.0,71,"9th Grade to 12th Grade, No Diploma",Full Time,84301.44,Separated,Male,Yes,11.15906032,10,0,1.0,No,Month-to-month,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Electronic Check,12.42120946,207.6617589,1886.153328,3,3,4,3,4,2,4,3
303,304,304,J790219,59a8c0c4-8155-4b5e-b476-62923fbf6287,Pie Town,NM,Catron,87827,34.40185,-108.10286,110,Suburban,America/Denver,Occupational hygienist,4.0,53,Master's Degree,Full Time,82131.87,Separated,Female,Yes,10.66260432,13,1,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Electronic Check,3.212400569,203.1304698,769.8534863,5,3,4,2,4,3,4,2
322,323,323,H691053,9b0f073f-ac34-4245-8ce8-b26207acb2c7,Black Creek,NY,Allegany,14714,42.28999,-78.23324,582,Suburban,America/New_York,Tax adviser,1.0,78,Bachelor's Degree,Full Time,119968.61,Divorced,Female,Yes,8.697049506,7,3,0.0,No,Month-to-month,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Credit Card (automatic),14.6728104,184.6885585,1564.936841,4,3,4,4,3,4,3,5
330,331,331,T638377,c11933be-f9ea-4ee8-99e2-d98a3a3f21af,Lynch,NE,Boyd,68746,42.7922,-98.43848,396,Urban,America/Chicago,"Nurse, mental health",0.0,53,Bachelor's Degree,Full Time,87568.16,Married,Female,Yes,9.81908554,12,0,0.0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),9.734064703,198.8338104,1755.645123,4,4,4,3,5,5,3,5
336,337,337,D758871,0179f722-8a23-41aa-b43e-5cd3f9cd3bc3,Centralia,KS,Nemaha,66415,39.68728,-96.14561,926,Rural,America/Chicago,Holiday representative,4.0,49,"Some College, 1 or More Years, No Degree",Full Time,114398.35,Married,Male,Yes,6.793471805,10,2,0.0,No,Month-to-month,No,No,DSL,Yes,Yes,No,No,No,No,No,No,Yes,Electronic Check,6.485034974,123.0406831,1221.100604,2,2,2,4,4,3,4,5
337,338,338,F353304,2de37fa1-790a-42d7-9c6a-b15523b9621f,Burlington Flats,NY,Otsego,13315,42.74411,-75.14516,1543,Suburban,America/New_York,"Producer, radio",6.0,69,Regular High School Diploma,Retired,105646.73,Separated,Female,Yes,6.233692299,10,1,0.0,Yes,One year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Mailed Check,1.14113241,251.6660847,745.0493094,2,3,4,1,5,2,3,5
353,354,354,F858862,63f8d459-3043-4942-8e82-4c8b1d4e0c47,Clive,IA,Polk,50325,41.61465,-93.79822,17007,Rural,America/Chicago,Geoscientist,0.0,68,"9th Grade to 12th Grade, No Diploma",Full Time,122263.81,Never Married,Female,Yes,14.27365908,15,2,0.0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No,No,Credit Card (automatic),7.825845378,161.8339124,863.0820861,5,2,4,3,3,4,3,3
382,383,383,R753498,9ae6325d-f69f-4595-afdc-920c64944d96,Hager City,WI,Pierce,54014,44.64671,-92.56765,2080,Rural,America/Chicago,Event organiser,0.0,18,"Some College, 1 or More Years, No Degree",Full Time,91186.03,Separated,Female,No,9.666266401,13,0,0.0,No,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Bank Transfer(automatic),16.8000196,244.7259522,2188.672399,3,2,4,4,5,2,1,4
392,393,393,J307751,9eb2387d-13d6-4cc3-84ef-e66962e1cdc9,Joppa,MD,Harford,21085,39.44789,-76.35469,16177,Rural,America/New_York,Analytical chemist,3.0,72,"9th Grade to 12th Grade, No Diploma",Full Time,81388.6,Divorced,Male,Yes,8.092785012,7,0,0.0,No,Month-to-month,Yes,No,None,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),5.940902789,189.9928055,1167.271182,3,3,4,4,1,4,4,3
393,394,394,N206516,f6472477-7c13-48f7-9742-aee0b708f0b8,Boissevain,VA,Tazewell,24606,37.28771,-81.39385,170,Urban,America/New_York,"Research officer, government",0.0,53,"9th Grade to 12th Grade, No Diploma",Full Time,78272.96,Widowed,Male,Yes,9.840337996,10,0,0.0,No,Month-to-month,Yes,Yes,None,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Bank Transfer(automatic),5.988505209,187.9295905,1007.289786,3,3,3,4,4,3,4,3
413,414,414,A859738,a75e22dd-c772-41b4-b071-c51968ed5241,West York,IL,Crawford,62478,39.17838,-87.74266,389,Rural,America/Chicago,Armed forces technical officer,2.0,21,Associate's Degree,Full Time,112429.2,Separated,Male,No,6.86220228,6,0,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Mailed Check,11.32083915,193.8478227,1563.848623,3,3,3,1,4,3,3,2
417,418,418,W610913,b2b86107-56dc-40bf-a9bf-149ba6584f97,Silver Gate,MT,Park,59081,45.0085,-109.97288,20,Urban,America/Denver,Garment/textile technologist,1.0,53,Bachelor's Degree,Full Time,100232.53,Never Married,Female,No,10.06384655,11,0,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,Yes,Electronic Check,18.61278731,148.4587393,1995.346628,5,4,5,3,3,3,4,4
425,426,426,O412044,3f8205d1-9e96-49fc-957e-3fc426221596,Saint Charles,KY,Hopkins,42453,37.15801,-87.60336,584,Rural,America/Chicago,Armed forces operational officer,7.0,61,"Some College, Less than 1 Year",Full Time,86453.08,Separated,Female,Yes,9.681794623,20,1,0.0,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,No,Bank Transfer(automatic),7.218752772,230.5847149,1317.766231,3,2,4,5,2,3,3,4
441,442,442,O403114,02c9c4a2-6875-44cb-b83c-f90239b09c4c,Sumter,SC,Sumter,29150,33.87552,-80.35447,39616,Rural,America/New_York,"Scientist, physiological",2.0,48,Nursery School to 8th Grade,Retired,119964.79,Never Married,Female,No,12.63904716,16,0,2.0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,No,No,No,Yes,Electronic Check,9.307770559,126.717048,1387.016004,3,4,5,2,4,3,3,3
450,451,451,D269899,389b953f-093b-4c04-8635-d8cd6aea7191,Packwaukee,WI,Marquette,53953,43.77254,-89.46829,221,Urban,America/Chicago,Mechanical engineer,3.0,84,Associate's Degree,Full Time,99519.26,Married,Female,No,40.99362937,15,1,0.0,No,One year,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Yes,Electronic Check,21.71097206,198.1154702,1916.832871,2,2,2,4,4,4,4,3
451,452,452,W291881,ea7a8a15-d70d-429c-a220-23e0aec370c3,Ayden,NC,Pitt,28513,35.4415,-77.38893,10321,Rural,America/New_York,Oncologist,0.0,62,Regular High School Diploma,Part Time,93039.69,Widowed,Male,No,6.708600496,16,0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Credit Card (automatic),3.470685398,179.451412,573.9920618,1,2,2,5,2,4,3,2
460,461,461,J207539,d6eb6895-1cec-4291-8697-48dccb1dbc88,Winslow,IN,Pike,47598,38.388,-87.21356,3191,Rural,America/Indiana/Petersburg,"Therapist, drama",2.0,80,Regular High School Diploma,Full Time,99482.26,Separated,Female,Yes,14.72356501,12,2,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),9.461939857,254.4072786,1267.634616,4,4,3,4,5,3,3,2
465,466,466,K796504,a1253fa5-ddc2-4ee4-b63f-18d9a3191bcb,Ashland,MA,Middlesex,1721,42.25729,-71.46866,17576,Rural,America/New_York,Regulatory affairs officer,0.0,18,Professional School Degree,Full Time,101000.3,Never Married,Male,Yes,38.25823571,10,0,1.0,No,Month-to-month,No,No,DSL,Yes,Yes,No,No,No,No,Yes,No,No,Electronic Check,14.58066686,176.937371,2023.519366,5,5,4,2,5,4,3,3
470,471,471,Q585011,e018df7d-ad42-41c7-9971-75ddf0a3f9ee,Saint Marie,MT,Valley,59231,48.39806,-106.54796,489,Rural,America/Denver,"Surveyor, land/geomatics",2.0,53,Master's Degree,Retired,156740.67,Married,Male,Yes,13.23416842,13,1,0.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,No,Bank Transfer(automatic),1.092219692,192.2164178,499.7170655,3,4,4,3,4,3,2,3
478,479,479,T912154,1bcc8cfa-14cf-4317-bb51-1b883869ea6b,Dana Point,CA,Orange,92629,33.47671,-117.70459,26744,Rural,America/Los_Angeles,Recycling officer,1.0,44,Regular High School Diploma,Full Time,80862.03,Widowed,Male,Yes,7.731458931,16,2,2.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Mailed Check,12.9401487,254.918831,1794.116848,2,3,3,3,2,3,3,3
495,496,496,H75117,179db5c1-01e3-49fb-8fa5-a6407960c300,Green Valley,WI,Shawano,54127,44.79639,-88.2696,93,Rural,America/Chicago,Community development worker,3.0,85,Nursery School to 8th Grade,Part Time,97761.18,Married,Female,Yes,9.817175411,11,1,0.0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Mailed Check,8.573785357,220.5069628,3382.424,5,5,5,4,3,4,5,5
511,512,512,X286988,9fb14b9f-a39c-48bc-9cdf-3cad65435793,Ardmore,TN,Giles,38449,35.0482,-86.82587,2494,Urban,America/Chicago,Occupational hygienist,1.0,58,"9th Grade to 12th Grade, No Diploma",Full Time,146494.7,Separated,Male,No,8.749000467,14,2,0.0,No,One year,No,No,DSL,Yes,No,No,No,No,No,No,No,No,Credit Card (automatic),8.792119046,91.94775013,1216.325478,3,3,3,3,4,4,3,4
513,514,514,S785720,9d8175d3-0f49-420e-abdf-3529c326a56c,Ponce,PR,Ponce,731,18.09775,-66.63355,12722,Suburban,America/Puerto_Rico,"Teacher, adult education",0.0,26,"Some College, 1 or More Years, No Degree",Part Time,159315.5,Divorced,Female,Yes,9.956447326,13,0,1.0,Yes,Month-to-month,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Electronic Check,36.19603,232.4943908,2140.402985,4,5,3,4,3,5,4,4
553,554,554,C841625,fe45a45b-77b0-4993-8ab6-f83288dcbfbd,Okatie,SC,Beaufort,29909,32.341,-80.85374,18829,Suburban,America/New_York,Tax inspector,3.0,52,GED or Alternative Credential,Full Time,86411.28,Divorced,Female,Yes,6.3277546,10,1,1.0,No,Month-to-month,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),10.40161068,203.1916122,1883.962411,3,3,5,3,3,4,4,4
582,583,583,A04204,62e9bf5d-f49a-49fe-84e4-4dd94f56aeb8,Neptune Beach,FL,Duval,32266,30.31645,-81.41177,7080,Urban,America/New_York,Art gallery manager,1.0,34,Regular High School Diploma,Full Time,80906.28,Married,Male,No,15.32418118,11,2,0.0,No,One year,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Credit Card (automatic),2.140387928,173.1002712,1080.597617,4,4,3,3,4,3,2,3
589,590,590,F744495,b881fbfd-5d88-41c6-b09c-01a3b9cec80e,Los Angeles,CA,Los Angeles,90016,34.02872,-118.3546,46581,Rural,America/Los_Angeles,Academic librarian,1.0,71,Bachelor's Degree,Full Time,82554.24,Separated,Female,No,3.643334931,18,1,0.0,No,One year,No,No,None,Yes,No,No,No,No,Yes,No,No,No,Mailed Check,3.113737885,92.00899337,278.5411418,3,3,3,2,5,3,3,3
615,616,616,J878701,6b599f61-7936-4005-91df-c85790fb984f,Walnut Cove,NC,Stokes,27052,36.32615,-80.15436,9906,Rural,America/New_York,"Surveyor, commercial/residential",1.0,78,"9th Grade to 12th Grade, No Diploma",Part Time,86897.5,Separated,Male,No,11.60698494,10,2,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,3.149071183,149.9869702,520.606284,3,3,4,4,3,3,3,4
629,630,630,E740766,7f1731e1-e97d-42f3-9e9b-9dd3228551f9,Riverside,MO,Platte,64150,39.17045,-94.63029,3313,Urban,America/Chicago,"Designer, blown glass/stained glass",0.0,38,Associate's Degree,Retired,99007.42,Widowed,Female,No,4.416331746,10,3,2.0,Yes,One year,No,Yes,None,No,No,No,Yes,Yes,No,No,Yes,Yes,Mailed Check,3.838043219,149.2859595,688.2231899,5,4,4,3,5,4,3,3
635,636,636,B545599,0243b5a7-f25d-44cc-9df4-d9a1a56c5482,Kingsford,MI,Dickinson,49802,45.80057,-88.07727,6137,Suburban,America/Menominee,Corporate investment banker,1.0,36,"Some College, 1 or More Years, No Degree",Full Time,83705.06,Never Married,Male,Yes,7.602481978,11,1,0.0,No,One year,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Electronic Check,9.126959742,154.2263116,1640.244176,3,4,3,4,5,4,4,4
646,647,647,P591493,e5e2bac1-d8a2-4978-a35e-453b88138b40,Edmond,OK,Oklahoma,73034,35.70184,-97.4255,44647,Rural,America/Chicago,"Research officer, trade union",1.0,81,Regular High School Diploma,Student,85742.06,Widowed,Male,No,10.86469377,8,1,0.0,No,Two Year,No,No,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,6.357562637,152.3659226,3382.424,3,4,3,4,3,4,5,3
655,656,656,S721167,f820ef12-654b-4b7b-93de-b28fe59d8fd2,York,PA,York,17403,39.92296,-76.71339,39641,Suburban,America/New_York,"Administrator, local government",1.0,68,"Some College, 1 or More Years, No Degree",Retired,94520.02,Divorced,Female,No,2.199486731,11,1,0.0,Yes,Two Year,No,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,No,Mailed Check,7.243986575,146.170473,708.0622854,5,4,5,3,4,3,4,4
656,657,657,F83510,42ed9a7a-5e48-4473-8de5-25a85fa89eb9,Balm,FL,Hillsborough,33503,27.76516,-82.27648,204,Rural,America/New_York,Armed forces operational officer,4.0,82,"Some College, Less than 1 Year",Full Time,172884.11,Separated,Male,No,7.276379259,10,1,1.0,No,Two Year,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Credit Card (automatic),1.876407503,183.615716,1075.001724,2,2,2,4,1,4,4,2
