,Unnamed: 0,CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
102,103,103,P33478,de982f12-12d6-489d-b4ee-e68a97898c45,Ozone Park,NY,Queens,11417,40.67637,-73.84441,31927,Urban,America/New_York,"Engineer, manufacturing",0.0,53,Bachelor's Degree,Full Time,23289.77,Divorced,Female,Yes,12.58013188,19,1,0.0,No,Month-to-month,No,Yes,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Mailed Check,2.542296644,220.3400058,3382.424,2,4,3,2,3,3,5,3
110,111,111,C25146,8d831d69-21b5-4bec-bbfc-44c636c75c3e,Centreville,VA,Fairfax,20120,38.85433,-77.47715,41733,Urban,America/New_York,"Radiographer, therapeutic",1.0,47,Associate's Degree,Full Time,55861.19,Divorced,Male,No,13.82441538,16,1,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,Bank Transfer(automatic),5.197446331,135.5831384,704.9375603,4,4,4,4,3,3,4,3
120,121,121,Q765651,15a05750-ad38-4037-9acc-9fe6fe258839,Altadena,CA,Los Angeles,91001,34.19544,-118.13796,37711,Rural,America/Los_Angeles,IT trainer,4.0,53,Regular High School Diploma,Student,33186.785,Divorced,Female,No,15.77290448,13,1,0.0,Yes,Two Year,No,No,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Credit Card (automatic),22.37815032,146.6848887,2603.903672,5,4,5,2,3,4,4,3
123,124,124,E351590,df1d3143-c299-4adc-a618-94f9bb34343e,Cape Coral,FL,Lee,33904,26.57593,-81.94532,31859,Urban,America/New_York,"Psychologist, sport and exercise",1.0,35,Master's Degree,Full Time,54533.63,Divorced,Female,No,8.601294241,15,2,1.0,No,Month-to-month,Yes,Yes,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),8.156552837,187.3140137,1347.869205,4,4,4,3,4,3,3,4
141,142,142,T30358,a6ab1cd6-aaa8-46b9-83f3-612b7facdc1e,Victoria,TX,Victoria,77901,28.80493,-96.98473,43123,Rural,America/Chicago,Educational psychologist,1.0,53,Regular High School Diploma,Full Time,28622.6,Widowed,Female,Yes,11.37533904,14,1,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Bank Transfer(automatic),36.19603,192.516315,513.237305,4,5,3,4,4,2,4,2
156,157,157,L535753,266469fb-1b74-4347-8eaa-5bad28466709,Chicago,IL,Cook,60645,42.00853,-87.69481,47732,Suburban,America/Chicago,Theme park manager,0.0,87,Associate's Degree,Part Time,15388.32,Separated,Female,Yes,9.06736268,13,1,2.0,Yes,One year,Yes,No,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),7.983887266,188.8828828,990.0555076,4,4,3,3,4,4,4,2
157,158,158,K265986,9f0486c9-e0fc-4762-8f35-e676fbefb689,League City,TX,Galveston,77573,29.50205,-95.08652,86926,Rural,America/Chicago,Visual merchandiser,1.0,39,"9th Grade to 12th Grade, No Diploma",Full Time,33186.785,Divorced,Male,No,7.519193234,9,2,1.0,Yes,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Electronic Check,5.969967132,175.495369,967.9819136,4,5,4,4,3,3,3,5
163,164,164,I338069,499b2349-0b95-45ad-ae06-8e3a286d8a39,Toledo,OH,Lucas,43613,41.70628,-83.6037,32653,Suburban,America/New_York,Immigration officer,1.0,25,"9th Grade to 12th Grade, No Diploma",Part Time,19476.27,Widowed,Female,Yes,10.26769571,13,1,0.0,Yes,Two Year,No,No,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Mailed Check,10.87555535,199.5164467,3382.424,2,2,3,2,5,4,4,3
171,172,172,P954849,7ec593ca-82bd-4a03-8359-ab20212e3ce7,Valley Stream,NY,Nassau,11580,40.67495,-73.70356,43714,Suburban,America/New_York,"Geologist, wellsite",1.0,31,"Some College, 1 or More Years, No Degree",Full Time,35321.46,Married,Male,Yes,11.71135346,11,0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,Credit Card (automatic),36.19603,161.0835097,1522.289512,2,3,3,5,4,3,2,3
203,204,204,K33780,10a165f2-6ce5-47ff-bec5-925b3d5eebf0,Chicago,IL,Cook,60639,41.92056,-87.75603,90517,Suburban,America/Chicago,Merchant navy officer,3.0,83,Regular High School Diploma,Full Time,44223.58,Widowed,Female,No,8.339726664,15,2,0.0,No,Month-to-month,Yes,No,None,Yes,No,No,Yes,No,No,Yes,No,No,Electronic Check,36.19603,128.4458312,1430.761492,2,3,1,3,3,1,4,3
212,213,213,X914490,b0115cfa-cd5e-42a3-9254-93e3ee76c6a2,Cupertino,CA,Santa Clara,95014,37.30493,-122.0807,62430,Rural,America/Los_Angeles,"Engineer, petroleum",3.0,81,"9th Grade to 12th Grade, No Diploma",Retired,92447.71,Divorced,Female,No,14.82772628,12,0,0.0,No,One year,No,No,DSL,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),1.416592892,149.680349,757.0097075,4,4,4,3,3,3,3,3
215,216,216,X389713,fb55463f-292c-4e7f-aef1-ef9465958caf,Los Lunas,NM,Valencia,87031,34.73183,-106.8878,44451,Rural,America/Denver,Site engineer,2.0,73,"Some College, 1 or More Years, No Degree",Unemployed,33186.785,Never Married,Male,No,10.77879107,10,2,1.0,No,Month-to-month,Yes,Yes,None,Yes,No,No,No,No,Yes,Yes,No,No,Credit Card (automatic),15.94935291,117.1667279,3382.424,4,4,3,2,5,3,2,4
217,218,218,A81135,992129c0-32f1-4299-a27d-2a2b001a60f5,Clearwater,FL,Pinellas,33756,27.94449,-82.79241,33649,Suburban,America/New_York,Plant breeder/geneticist,8.0,53,Regular High School Diploma,Unemployed,52143.7,Never Married,Female,No,8.578383742,14,1,1.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,No,Electronic Check,16.03360405,217.5311821,2153.778421,3,4,4,4,3,2,3,2
231,232,232,I933613,13ec0a29-567c-4bcd-94a6-a7740b41c36b,Fort Lauderdale,FL,Broward,33321,26.21204,-80.2696,47974,Suburban,America/New_York,"Engineer, materials",1.0,63,Associate's Degree,Unemployed,25985.06,Never Married,Female,No,7.689595509,11,1,0.0,No,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,No,Mailed Check,18.17247008,148.1522435,1707.641161,3,3,3,4,4,4,3,4
240,241,241,D402022,6d812827-f099-4d10-972a-9babadb6e85d,Chicago,IL,Cook,60630,41.97215,-87.75706,57344,Rural,America/Chicago,"Producer, television/film/video",1.0,53,Bachelor's Degree,Retired,25611.29,Divorced,Male,No,13.33224185,11,0,0.0,No,Month-to-month,No,No,DSL,Yes,No,No,No,No,No,Yes,Yes,No,Electronic Check,20.35456039,187.5045874,2512.36494,4,4,4,3,3,4,5,4
241,242,242,M545162,9f6b6161-f9c8-47df-b235-173e7c48fb58,Houston,TX,Harris,77092,29.82964,-95.47377,39035,Suburban,America/Chicago,Make,1.0,68,Regular High School Diploma,Unemployed,9428.86,Divorced,Female,No,11.7586707,7,0,1.0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Electronic Check,12.00925702,169.7444432,1297.388488,4,4,4,3,4,3,3,3
256,257,257,K458306,344930fe-43c1-43f1-939c-d0f2ebf5f8f1,Winston Salem,NC,Forsyth,27103,36.05798,-80.32147,34993,Rural,America/New_York,"Copywriter, advertising",0.0,34,Master's Degree,Full Time,66055.53,Divorced,Female,No,5.40110948,11,2,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),11.86252419,132.6136411,3382.424,2,2,2,4,2,4,4,4
257,258,258,N279711,eabdb275-7517-4fe2-8b90-1ce5bcb1eff9,Dublin,OH,Franklin,43016,40.09859,-83.15376,36260,Urban,America/New_York,Financial planner,7.0,76,Master's Degree,Full Time,91335.76,Widowed,Male,No,11.69090237,11,1,0.0,No,One year,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Electronic Check,2.416685985,142.1789205,1078.291303,3,4,4,2,5,4,3,4
259,260,260,H849889,610700f7-b4b3-4775-82a6-7de1bd08c2ae,Atlanta,GA,DeKalb,30319,33.87897,-84.33619,41839,Rural,America/New_York,"Nurse, mental health",0.0,53,Nursery School to 8th Grade,Full Time,75042.1,Separated,Female,Yes,4.121214508,12,1,1.0,No,Two Year,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),6.549035393,233.6329328,1489.077486,4,5,4,4,5,3,5,3
262,263,263,X525693,17eb7b32-f258-40b6-9868-5d8aef2f3006,Harrisburg,PA,Dauphin,17111,40.26896,-76.78491,32603,Rural,America/New_York,Manufacturing engineer,0.0,87,Bachelor's Degree,Part Time,63284.16,Divorced,Female,No,9.06359011,16,1,1.0,No,Two Year,No,No,None,Yes,Yes,No,No,No,Yes,No,No,Yes,Electronic Check,36.19603,124.2532217,684.6318529,5,5,5,5,4,4,4,3
275,276,276,Z317359,14440f99-7726-4b12-b350-99b7c3cf7f90,Austin,TX,Travis,78744,30.18277,-97.7292,48969,Urban,America/Chicago,Tax inspector,0.0,53,Bachelor's Degree,Full Time,33186.785,Widowed,Female,No,15.28332393,9,2,1.0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),36.19603,254.3156496,1302.230824,3,2,3,4,3,4,5,3
285,286,286,N914081,dc199911-b2ae-4e37-927e-7cac31923a7b,Valdosta,GA,Lowndes,31601,30.75159,-83.34207,32084,Rural,America/New_York,Radio broadcast assistant,1.0,69,Associate's Degree,Unemployed,36453.31,Divorced,Prefer not to answer,No,10.68844836,8,1,0.0,No,One year,No,No,None,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Mailed Check,20.78013031,159.7033775,1898.877878,3,3,4,3,4,2,2,3
291,292,292,J227266,b6a53542-a36f-4b73-b2c5-f04b7eafc8bd,Germantown,MD,Montgomery,20874,39.12972,-77.2975,61045,Rural,America/New_York,Photographer,2.0,82,Nursery School to 8th Grade,Student,68122.23,Separated,Female,No,38.17398632,18,0,0.0,No,One year,No,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Electronic Check,18.9537053,198.9185978,1746.405243,2,3,2,3,4,1,2,3
314,315,315,V592787,5f33d0ae-22c9-47af-b088-d0165d503435,Long Beach,CA,Los Angeles,90810,33.81894,-118.22111,38579,Rural,America/Los_Angeles,Social researcher,1.0,73,Regular High School Diploma,Part Time,75866.75,Separated,Female,No,9.406328914,11,0,0.0,No,Month-to-month,Yes,No,None,Yes,No,No,No,No,Yes,No,No,No,Credit Card (automatic),7.661226872,91.77449723,583.0259559,4,5,4,2,4,3,3,3
323,324,324,V971650,ce2e469e-0123-41f5-b86f-07cab7f2d423,Daphne,AL,Baldwin,36526,30.61297,-87.86137,34669,Urban,America/Chicago,Quarry manager,4.0,53,"Some College, 1 or More Years, No Degree",Full Time,33186.785,Married,Male,No,39.65913978,11,1,0.0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Electronic Check,5.953547112,161.0815872,3382.424,4,3,3,3,3,5,4,4
351,352,352,X426072,f9badcad-8c93-4bda-b113-af5857ac1fa1,Chester,PA,Delaware,19013,39.84792,-75.3761,35345,Urban,America/New_York,Psychiatric nurse,7.0,24,"Some College, 1 or More Years, No Degree",Full Time,8507.97,Never Married,Female,No,9.509186571,11,3,0.0,No,Two Year,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),9.001231999,197.4605619,1852.503069,5,4,3,2,3,3,4,2
352,353,353,W452692,a54d9323-f46b-47e4-8094-c76ddebe7ba5,Shelton,CT,Fairfield,6484,41.30601,-73.13829,41155,Rural,America/New_York,Farm manager,3.0,48,"Some College, Less than 1 Year",Unemployed,33186.785,Married,Male,No,10.16810615,15,3,2.0,No,Two Year,No,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,10.9750814,191.6048817,1312.008382,4,4,4,4,4,5,5,5
360,361,361,W211742,81a4a884-e471-4840-9c07-f921a0f449e0,Miami,FL,Miami-Dade,33133,25.7298,-80.24319,34460,Urban,America/New_York,Technical brewer,4.0,85,Regular High School Diploma,Full Time,70023.28,Widowed,Male,No,7.700091329,14,2,0.0,No,One year,Yes,No,None,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Mailed Check,6.10108047,207.4921577,1080.159892,4,3,5,4,3,4,4,4
372,373,373,K974970,4378bf1b-fa75-4734-990d-428e1e9d3298,Killeen,TX,Bell,76549,31.01317,-97.82996,51767,Suburban,America/Chicago,Customer service manager,7.0,36,"9th Grade to 12th Grade, No Diploma",Full Time,69104.9,Married,Male,No,13.62639938,14,1,0.0,No,Two Year,No,No,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Electronic Check,22.33583015,162.9193066,2499.186161,2,3,4,4,3,3,4,3
379,380,380,W309763,2a0057c2-0eca-4216-a1bc-fa2b08c12766,Kenosha,WI,Kenosha,53142,42.54275,-87.94231,32929,Urban,America/Chicago,Data processing manager,4.0,54,Doctorate Degree,Full Time,54373.35,Divorced,Female,Yes,9.669012929,13,1,0.0,No,Two Year,No,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Mailed Check,5.204853319,211.2210241,3382.424,2,2,3,2,3,4,3,3
384,385,385,L152937,a88219e1-6f6e-4290-81da-f952c31a878b,Brooklyn,NY,Kings,11205,40.69468,-73.96613,46064,Rural,America/New_York,"Engineer, land",1.0,60,"9th Grade to 12th Grade, No Diploma",Unemployed,37703.83,Divorced,Male,Yes,6.512880698,12,1,0.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Credit Card (automatic),17.18829795,186.5334852,1828.279015,4,5,5,1,4,3,3,4
385,386,386,D765207,ed10a198-9ecf-4e6d-bfd4-9b3e34a33d12,Hayward,CA,Alameda,94545,37.61469,-122.11908,32525,Rural,America/Los_Angeles,Lawyer,2.0,53,"Some College, 1 or More Years, No Degree",Student,29117.32,Never Married,Female,No,14.20452956,7,1,0.0,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,No,No,No,Yes,Mailed Check,17.52138221,92.4635627,1866.966586,3,3,2,3,4,3,3,4
394,395,395,W592004,c919874f-618c-4bd0-a6e2-86d9833f3dcf,Seattle,WA,King,98144,47.58596,-122.29237,31845,Suburban,America/Los_Angeles,"Psychologist, sport and exercise",2.0,81,Professional School Degree,Full Time,11655.88,Separated,Female,Yes,9.788853049,11,1,0.0,No,One year,No,No,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Electronic Check,7.138784756,212.3704076,1500.69101,3,3,3,3,5,3,4,3
426,427,427,X299129,d8016d4c-29fd-479d-b93d-b2b8ca88b703,Tacoma,WA,Pierce,98404,47.20975,-122.41008,35100,Suburban,America/Los_Angeles,Air broker,3.0,61,Master's Degree,Full Time,31466.9,Divorced,Female,No,5.266000069,7,6,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Mailed Check,11.69875604,146.5523549,1189.578203,3,3,4,3,4,3,4,3
432,433,433,I745729,b24b1333-8540-4417-8c79-4ed210899d0c,Orange Park,FL,Clay,32073,30.17026,-81.73936,41863,Rural,America/New_York,Advertising copywriter,2.0,53,Regular High School Diploma,Full Time,18113.33,Never Married,Female,No,38.49308054,18,0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,No,No,No,Mailed Check,2.644787483,164.8206895,243.2617759,4,4,3,4,5,3,3,3
436,437,437,A940721,5c4bfef6-c67e-4093-902c-513944826d28,Columbia,SC,Richland,29210,34.04612,-81.10661,40305,Urban,America/New_York,Broadcast engineer,2.0,28,Bachelor's Degree,Full Time,10342.14,Widowed,Male,No,8.674433997,8,1,1.0,No,One year,Yes,Yes,None,Yes,No,Yes,No,Yes,No,No,No,Yes,Mailed Check,10.96319721,94.14049218,1270.217581,5,4,3,3,5,4,2,3
441,442,442,O403114,02c9c4a2-6875-44cb-b83c-f90239b09c4c,Sumter,SC,Sumter,29150,33.87552,-80.35447,39616,Rural,America/New_York,"Scientist, physiological",2.0,48,Nursery School to 8th Grade,Retired,119964.79,Never Married,Female,No,12.63904716,16,0,2.0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,No,No,No,Yes,Electronic Check,9.307770559,126.717048,1387.016004,3,4,5,2,4,3,3,3
442,443,443,B442948,eb61eb8e-8180-4ad0-85b5-eff490b10fca,Brooklyn,NY,Kings,11206,40.70189,-73.94237,88349,Rural,America/New_York,"Editor, commissioning",1.0,29,Regular High School Diploma,Full Time,21897.41,Never Married,Female,Yes,14.5208644,10,0,0.0,No,Month-to-month,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Yes,No,Yes,Bank Transfer(automatic),1.171557288,183.8669447,544.12326,2,3,4,5,2,5,5,3
445,446,446,I403839,3fc6d28d-fbf9-4bb7-8448-17419b6003a2,Round Rock,TX,Williamson,78681,30.53345,-97.72475,56959,Rural,America/Chicago,Curator,2.0,27,Associate's Degree,Unemployed,33186.785,Divorced,Male,Yes,6.04938625,11,0,0.0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,10.8600084,165.2643899,1932.20577,2,1,2,3,4,3,3,3
464,465,465,Q783171,a1d77609-8624-43cc-97af-9b1f64385c0f,Conyers,GA,Rockdale,30094,33.61125,-84.05635,34928,Suburban,America/New_York,Building services engineer,4.0,36,Bachelor's Degree,Full Time,7953.27,Married,Male,No,10.72338702,10,2,1.0,Yes,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Credit Card (automatic),3.179043613,183.2975992,744.2470872,3,4,2,4,2,3,3,2
468,469,469,C875992,f716f70d-3517-4326-9e86-4e73675f4b76,Pearland,TX,Brazoria,77581,29.56048,-95.27752,49612,Suburban,America/Chicago,Amenity horticulturist,0.0,73,Nursery School to 8th Grade,Student,19563.77,Married,Female,No,10.48557281,16,0,1.0,No,One year,No,Yes,DSL,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,20.04140358,129.1359364,3382.424,4,4,4,3,4,3,3,3
498,499,499,Z253470,927dcd12-7f15-49fb-b4f4-46699830817e,Phoenix,AZ,Maricopa,85023,33.63154,-112.09466,34488,Suburban,America/Phoenix,Audiological scientist,0.0,28,Associate's Degree,Retired,16051.94,Separated,Female,No,13.95992392,15,0,0.0,No,One year,No,No,DSL,Yes,No,Yes,No,No,No,No,No,No,Electronic Check,16.88097916,95.44156502,1939.600904,3,3,2,4,3,3,5,4
528,529,529,G417957,1853975d-6236-44da-9e9a-9a739cccdbb8,Greensboro,NC,Guilford,27405,36.11602,-79.7354,48990,Suburban,America/New_York,Quantity surveyor,0.0,82,"Some College, 1 or More Years, No Degree",Full Time,14185.42,Widowed,Male,No,11.58029662,9,2,0.0,No,One year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),1.781895205,149.4210208,292.4731737,4,5,5,3,2,4,5,5
529,530,530,G777381,41284236-fe97-4741-b844-66ea78fd44a5,Statesboro,GA,Bulloch,30458,32.39865,-81.82559,43597,Suburban,America/New_York,Pharmacologist,1.0,22,"Some College, 1 or More Years, No Degree",Student,33186.785,Widowed,Male,Yes,7.382302351,17,1,0.0,Yes,Month-to-month,No,No,None,Yes,Yes,No,No,Yes,No,Yes,No,No,Bank Transfer(automatic),2.050742411,149.2847229,655.3814577,2,2,3,3,5,2,2,3
555,556,556,F05516,0bdfd1ca-312e-48fe-ab07-9515c5e55342,Philadelphia,PA,Philadelphia,19120,40.03365,-75.11998,74971,Urban,America/New_York,Pathologist,1.0,88,"Some College, 1 or More Years, No Degree",Student,62359.81,Never Married,Female,No,11.07574665,15,0,0.0,Yes,Two Year,No,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Credit Card (automatic),7.604093453,163.2894665,844.8711719,2,4,3,3,5,3,3,2
558,559,559,P464171,b4834e75-9f24-490a-8298-20252d081526,Havertown,PA,Delaware,19083,39.97701,-75.31215,36282,Rural,America/New_York,Science writer,3.0,83,Doctorate Degree,Unemployed,10818.08,Widowed,Male,Yes,9.12197773,16,0,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,No,Yes,Electronic Check,8.874920206,160.0454943,3382.424,4,3,4,4,3,4,3,5
